BRN,South-eastern Asia,#ae017e,79,80,80,79,78,76,74,72,71,68,68,66,65,63,61,60,58,57,57,57,57,57,58,58,57,57
KHM,South-eastern Asia,#ae017e,31820,31566,31406,31315,31127,30852,30360,29602,28442,26796,24748,22676,20919,19442,18277,17322,16442,15544,14616,13701,12773,11926,11176,10566,10060,9617
CHN,Eastern Asia,#7a0177,1032265,958428,877476,800254,728304,667430,614913,568842,527974,489833,456569,421875,390750,360459,331987,306699,284565,265558,247848,231215,215499,200670,185075,170559,157241,143560
FJI,Melanesia,#41ab5d,487,469,454,439,426,415,405,396,389,381,374,372,371,374,377,380,383,384,383,378,373,366,357,348,337,327
IDN,South-eastern Asia,#ae017e,275368,262380,249841,238288,226600,216466,207215,199366,192381,186949,181872,177269,172838,174202,163425,158505,153674,148594,143314,138323,133589,128587,123831,118852,114207,109951
JPN,Eastern Asia,#7a0177,5740,5519,5319,5261,4973,4818,4548,4280,4012,3861,3595,3449,3308,3286,3042,3028,2904,2780,2656,2641,2624,2388,2261,2135,2116,2096
KIR,Micronesia,#238b45,175,171,166,162,157,153,148,144,140,136,134,132,131,132,133,136,138,141,142,143,143,143,142,140,138,136
PRK,Eastern Asia,#7a0177,15549,17535,19590,21546,23022,23741,23506,22451,20623,18316,15846,13628,11897,10676,9950,9625,9359,9047,8658,8125,7519,6903,6374,5924,5583,5280
KOR,Eastern Asia,#7a0177,8297,7832,7315,6795,6273,5690,5137,4637,4143,3726,3389,3027,2750,2505,2242,2054,1885,1775,1671,1573,1522,1475,1430,1387,1345,1303
LAO,South-eastern Asia,#ae017e,19556,19282,18876,18347,17674,16937,16150,15369,14605,13900,13255,12691,12186,11731,11348,10989,10669,10324,9994,9645,9327,9014,8730,8429,8145,7861
MYS,South-eastern Asia,#ae017e,6926,6722,6504,6319,6162,5969,5685,5365,4968,4456,4053,3715,3497,3350,3274,3174,3187,3211,3197,3284,3329,3378,3480,3534,3638,3740
MHL,Micronesia,#238b45,81,79,77,75,74,73,72,71,70,70,69,67,66,65,63,61,59,57,55,53,51,48,45,42,39,36
FSM,Micronesia,#238b45,140,140,141,143,144,144,144,142,138,134,128,123,116,110,104,98,93,88,84,80,77,75,73,71,69,68
MNG,Eastern Asia,#7a0177,4985,4595,4223,3863,3532,3226,2951,2694,2462,2256,2082,1937,1821,1731,1659,1605,1564,1525,1487,1439,1389,1345,1289,1238,1179,1116
MMR,South-eastern Asia,#ae017e,86759,84153,81929,79867,78087,76709,75588,74634,73849,72997,71936,70558,68706,66493,63954,61161,58125,59474,52017,49286,46723,44370,42298,40484,38909,37545
NRU,Micronesia,#238b45,8,8,8,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4
NZL,Australia and New Zealand,#74c476,495,475,453,435,410,395,380,360,352,340,330,327,326,321,322,328,328,332,328,321,314,312,304,290,283,277
PLW,Micronesia,#238b45,10,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4
PNG,Melanesia,#41ab5d,9544,9621,9732,9873,10020,10183,10336,10472,10586,10695,10782,10852,10910,10959,10979,10949,10885,10766,10614,10471,10278,10102,9901,9743,9586,9362
PHL,South-eastern Asia,#ae017e,79508,77144,74909,73251,71778,70735,69918,69535,69118,68618,68199,67582,66750,65711,64501,62943,61581,60247,58989,57829,56774,55803,54647,53514,52387,51249
WSM,Polynesia,#006d2c,135,130,126,122,118,115,111,107,104,100,96,93,91,90,88,87,87,86,91,84,83,81,79,77,74,71
SGP,South-eastern Asia,#ae017e,304,281,255,238,219,210,195,180,165,151,138,130,119,109,109,109,110,106,106,107,108,108,103,104,104,109
SLB,Melanesia,#41ab5d,382,379,374,370,366,364,361,361,362,361,364,369,374,382,387,394,398,401,403,402,400,395,392,387,380,374
THA,South-eastern Asia,#ae017e,31501,29659,27925,26288,24748,23208,21781,20480,19217,18004,16937,15926,14969,14059,13193,12531,11892,11268,10735,10203,9747,9286,8822,8359,7902,7526
TLS,South-eastern Asia,#ae017e,4176,4172,4158,4123,4063,3971,3846,3690,3512,3322,3141,2967,2820,2694,2589,2497,2417,2342,2272,2209,2140,2075,2017,1963,1911,1862
TON,Polynesia,#006d2c,53,51,49,48,46,45,44,43,42,41,41,41,40,41,41,41,42,42,42,42,42,41,40,39,38,36
TUV,Polynesia,#006d2c,11,11,11,10,10,10,10,10,9,9,9,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5
VUT,Melanesia,#41ab5d,150,148,147,146,145,146,151,145,145,144,144,144,144,144,146,147,149,151,154,157,159,162,163,163,162,160
VNM,South-eastern Asia,#ae017e,68510,64974,60725,56272,51435,46961,42705,38999,35920,33482,31795,30481,29559,28803,28582,28439,28338,28393,28573,28541,28574,28507,28348,28101,27777,27239
ALB,Southern Europe,#08519c,2586,2430,2271,2116,1952,1785,1630,1477,1333,1205,1088,980,890,803,732,670,620,578,546,519,499,481,463,449,434,415
AND,Southern Europe,#08519c,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
ARM,Western Asia,#fa9fb5,2941,2654,2364,2087,1828,1607,1417,1264,1143,1059,996,953,924,898,870,844,812,781,745,709,664,626,582,546,506,471
AUT,Western Europe,#2171b5,687,638,594,555,505,462,428,402,386,372,359,347,336,326,317,308,293,294,288,274,276,271,258,245,248,242
AZE,Western Asia,#fa9fb5,15284,15017,14619,14031,13263,12371,11409,10422,9476,8599,7860,7235,6723,6322,5998,5779,5634,5547,5503,5478,5435,5391,5285,5135,4961,4720
BLR,Eastern Europe,#6baed6,1684,1602,1517,1435,1349,1255,1166,1072,975,893,814,744,690,657,608,577,545,511,484,454,431,405,387,366,343,330
BEL,Western Europe,#2171b5,958,923,861,810,745,691,639,610,572,558,536,516,498,504,488,484,478,472,464,467,456,445,434,422,411,400
BIH,Southern Europe,#08519c,935,865,783,679,622,547,496,451,402,369,338,310,294,282,270,257,242,231,213,205,192,184,178,174,173,169
BGR,Eastern Europe,#6baed6,1529,1473,1394,1299,1235,1172,1120,1054,991,935,893,867,834,802,762,733,699,682,668,650,616,580,544,503,470,432
HRV,Southern Europe,#08519c,557,510,478,446,428,405,392,368,346,328,306,286,272,253,245,233,227,220,212,202,192,185,178,170,163,156
CYP,Western Asia,#fa9fb5,141,136,128,122,112,102,95,86,78,73,67,61,57,53,50,46,44,41,39,38,36,33,31,29,28,27
CZE,Eastern Europe,#6baed6,1238,1130,1019,884,755,644,555,477,428,397,382,373,366,361,365,347,336,332,314,305,293,292,278,276,274,272
DNK,Northern Europe,#4292c6,436,421,402,381,363,344,336,321,305,303,295,287,279,266,259,245,238,229,220,210,206,203,201,206,212,220
EST,Northern Europe,#4292c6,281,256,231,207,184,164,148,133,122,111,103,96,91,86,81,76,71,65,61,54,51,46,42,37,35,32
FIN,Northern Europe,#4292c6,339,321,308,287,270,247,236,226,211,202,201,195,189,184,180,175,171,160,154,148,142,136,124,118,118,113
FRA,Western Europe,#2171b5,5257,4925,4533,4227,3934,3652,3522,3396,3346,3297,3247,3197,3069,3014,2955,2891,2822,2825,2824,2741,2732,2643,2631,2542,2455,2446
GEO,Western Asia,#fa9fb5,3538,3366,3167,2952,2737,2529,2320,2126,1939,1772,1628,1502,1399,1303,1219,1148,1076,1011,945,879,818,752,688,629,569,515
DEU,Western Europe,#2171b5,5350,5032,4729,4365,4175,3994,3736,3629,3438,3318,3192,3065,2941,2823,2714,2615,2526,2446,2441,2377,2319,2267,2286,2309,2332,2284
GRC,Southern Europe,#08519c,956,920,876,844,813,780,737,693,649,606,564,534,495,479,451,421,412,387,383,363,353,341,329,317,297,288
HUN,Eastern Europe,#6baed6,1804,1668,1514,1358,1213,1116,1035,961,906,831,783,722,683,636,618,581,551,520,498,474,451,445,431,418,406,386
ISL,Northern Europe,#4292c6,22,21,20,20,18,17,16,15,14,13,12,12,11,11,10,10,10,10,10,9,9,8,8,8,8,7
IRL,Northern Europe,#4292c6,365,334,318,309,307,312,320,328,337,342,340,327,312,303,292,279,272,263,259,254,247,246,236,226,215,203
ITA,Southern Europe,#08519c,4452,4253,4001,3751,3451,3211,2981,2813,2653,2554,2409,2321,2234,2146,2108,2007,2008,1944,1926,1846,1762,1677,1595,1517,1445,1378
